N. Pokédex,Pokémon,Forme,Tipo1,Tipo2,Categoria,Grado,PS,Attacco,Difesa,Attacco sp.,Difesa sp.,Velocità,Totale,Media,Mossa 1,Mossa 2,Mossa 3,Mossa 4,Forte 1 Contro,Forte 2 Contro,Debole 1 Contro,Debole 2 Contro
#0001,Bulbasaur,,Erba,Veleno,Pokémon Seme,Base,45,49,49,65,65,45,318,53.00,Frenzy Plant,Knock Off,Light Screen,Protect,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0002,Ivysaur,,Erba,Veleno,Pokémon Seme,Stadio 1,60,62,63,80,80,60,405,67.50,Frenzy Plant,Knock Off,Light Screen,Protect,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0003,Venusaur,Forma Normale,Erba,Veleno,Pokémon Seme,Stadio 2,80,82,83,100,100,80,525,87.50,Earth Power,Earthquake,Frenzy Plant,Knock Off,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0004,Charmander,,Fuoco,,Pokémon Lucertola,Base,39,52,43,60,50,65,309,51.50,Blast Burn,Howl,Protect,Reflect,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0005,Charmeleon,,Fuoco,,Pokémon Fiamma,Stadio 1,58,64,58,80,65,80,405,67.50,Blast Burn,Howl,Protect,Reflect,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0006,Charizard,Forma Normale,Fuoco,Volante,Pokémon Fiamma,Stadio 2,78,84,78,109,85,100,534,89.00,Air Slash,Blast Burn,Earthquake,Heat Wave,Coleottero - Erba - Ghiaccio - Acciaio,Coleottero - Lotta - Erba,Terra - Roccia - Acqua,Elettro - Ghiaccio - Roccia
#0007,Squirtle,,Acqua,,Pokémon Tartaghina,Base,44,48,65,50,64,43,314,52.33,Fake Out,Flip Turn,Hydro Cannon,Hydro Pump,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0008,Wartortle,,Acqua,,Pokémon Tartaruga,Stadio 1,59,63,80,65,80,58,405,67.50,Fake Out,Flip Turn,Hydro Cannon,Hydro Pump,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0009,Blastoise,Forma Normale,Acqua,,Pokémon Crostaceo,Stadio 2,79,83,100,85,105,78,530,88.33,Blizzard,Dark Pulse,Earthquake,Fake Out,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0012,Butterfree,Forma Normale,Coleottero,Volante,Pokémon Farfalla,Stadio 2,60,45,50,80,80,70,385,64.17,Air Slash,Baton Pass,Bug Buzz,Hurricane,Erba - Buio - Psico,Coleottero - Lotta - Erba,Fuoco - Volante - Roccia,Elettro - Ghiaccio - Roccia
#0025,Pikachu,Forma Normale,Elettro,,Pokémon Topo,Stadio 1,35,55,40,50,50,90,320,53.33,Brick Break,Fake Out,Knock Off,Light Screen,Volante - Acqua,–,Terra,–
#0026,Raichu,Forma Normale,Elettro,,Pokémon Topo,Stadio 1,60,90,55,90,80,110,485,80.83,Brutal Swing,Charm,Eerie Impulse,Electroweb,Volante - Acqua,–,Terra,–
#0026,Raichu,Forma Alola,Elettro,Psico,Pokémon Topo,Stadio 1,60,85,50,95,85,110,485,80.83,Brutal Swing,Charm,Eerie Impulse,Electroweb,Volante - Acqua,Lotta - Veleno,Terra,Coleottero - Buio - Spettro
#0027,Sandshrew,Forma Normale,Terra,,Pokémon Topo,Base,50,75,85,20,30,40,300,50.00,Earthquake,Knock Off,Protect,Rapid Spin,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0027,Sandshrew,Forma Alola,Ghiaccio,Acciaio,Pokémon Topo,Base,50,75,90,10,35,40,300,50.00,Earthquake,Knock Off,Protect,Rapid Spin,Drago - Volante - Erba - Terra,Folletto - Ghiaccio - Roccia,Lotta - Fuoco - Roccia - Acciaio,Lotta - Fuoco - Terra
#0028,Sandslash,Forma Normale,Terra,,Pokémon Topo,Stadio 1,75,100,110,45,55,65,450,75.00,Brick Break,Bulldoze,Drill Run,Earthquake,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0028,Sandslash,Forma Alola,Ghiaccio,Acciaio,Pokémon Topo,Stadio 1,75,100,120,25,65,65,450,75.00,Brick Break,Bulldoze,Drill Run,Earthquake,Drago - Volante - Erba - Terra,Folletto - Ghiaccio - Roccia,Lotta - Fuoco - Roccia - Acciaio,Lotta - Fuoco - Terra
#0030,Nidorina,,Veleno,,Pokémon Velenago,Stadio 1,70,62,67,55,55,56,365,60.83,Ice Beam,Protect,Reflect,Rest,Folletto - Erba,–,Terra - Psico,–
#0031,Nidoqueen,,Veleno,Terra,Pokémon Trapano,Stadio 2,90,92,87,75,85,76,505,84.17,Earth Power,Earthquake,Flamethrower,Ice Beam,Folletto - Erba,Elettro - Fuoco - Veleno - Roccia - Acciaio,Terra - Psico,Erba - Ghiaccio - Acqua
#0033,Nidorino,,Veleno,,Pokémon Velenago,Stadio 1,61,72,57,55,55,65,365,60.83,Head Smash,Ice Beam,Protect,Reflect,Folletto - Erba,–,Terra - Psico,–
#0034,Nidoking,,Veleno,Terra,Pokémon Trapano,Stadio 2,81,102,77,85,75,85,505,84.17,Earth Power,Earthquake,Flamethrower,Head Smash,Folletto - Erba,Elettro - Fuoco - Veleno - Roccia - Acciaio,Terra - Psico,Erba - Ghiaccio - Acqua
#0035,Clefairy,,Folletto,,Pokémon Fata,Stadio 1,70,45,48,60,65,35,323,53.83,Baton Pass,Dazzling Gleam,Follow Me,Helping Hand,Lotta - Buio - Drago,–,Veleno - Acciaio,–
#0036,Clefable,,Folletto,,Pokémon Fata,Stadio 2,95,70,73,95,90,60,483,80.50,After You,Baton Pass,Dazzling Gleam,Flamethrower,Lotta - Buio - Drago,–,Veleno - Acciaio,–
#0037,Vulpix,Forma Normale,Fuoco,,Pokémon Volpe,Base,38,41,40,50,65,65,299,49.83,Howl,Protect,Reflect,Rest,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0037,Vulpix,Forma Alola,Ghiaccio,,Pokémon Volpe,Base,38,41,40,50,65,65,299,49.83,Howl,Protect,Reflect,Rest,Drago - Volante - Erba - Terra,–,Lotta - Fuoco - Roccia - Acciaio,–
#0038,Ninetales,Forma Normale,Fuoco,,Pokémon Volpe,Stadio 1,73,76,75,81,100,100,505,84.17,Baby-Doll Eyes,Extrasensory,Fake Tears,Flamethrower,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0038,Ninetales,Forma Alola,Ghiaccio,Folletto,Pokémon Volpe,Stadio 1,73,67,75,81,100,109,505,84.17,Baby-Doll Eyes,Extrasensory,Fake Tears,Flamethrower,Drago - Volante - Erba - Terra,Lotta - Buio - Drago,Lotta - Fuoco - Roccia - Acciaio,Veleno - Acciaio
#0039,Jigglypuff,,Normale,Folletto,Pokémon Pallone,Stadio 1,115,45,20,45,25,20,270,45.00,Baton Pass,Ice Beam,Knock Off,Light Screen,–,Lotta - Buio - Drago,Lotta,Veleno - Acciaio
#0040,Wigglytuff,,Normale,Folletto,Pokémon Pallone,Stadio 2,140,70,45,85,50,45,435,72.50,Ally Switch,Baton Pass,Blizzard,Dazzling Gleam,–,Lotta - Buio - Drago,Lotta,Veleno - Acciaio
#0041,Zubat,,Veleno,Volante,Pokémon Pipistrello,Base,40,45,35,30,40,55,245,40.83,Protect,Rest,Roost,Taunt,Folletto - Erba,Coleottero - Lotta - Erba,Terra - Psico,Elettro - Ghiaccio - Roccia
#0042,Golbat,,Veleno,Volante,Pokémon Pipistrello,Stadio 1,75,80,70,65,75,90,455,75.83,Protect,Rest,Roost,Taunt,Folletto - Erba,Coleottero - Lotta - Erba,Terra - Psico,Elettro - Ghiaccio - Roccia
#0043,Oddish,,Erba,Veleno,Pokémon Malerba,Base,45,50,55,75,65,30,320,53.33,Protect,Reflect,Rest,Toxic,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0044,Gloom,,Erba,Veleno,Pokémon Malerba,Stadio 1,60,65,70,85,75,40,395,65.83,Protect,Reflect,Rest,Toxic,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0045,Vileplume,,Erba,Veleno,Pokémon Fiore,Stadio 2,75,80,85,110,90,50,490,81.67,After You,Energy Ball,Giga Drain,Grassy Terrain,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0050,Diglett,Forma Normale,Terra,,Pokémon Talpa,Base,10,55,25,35,45,95,265,44.17,Earthquake,Protect,Rest,Stealth Rock,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0050,Diglett,Forma Alola,Terra,Acciaio,Pokémon Talpa,Base,10,55,30,35,45,90,265,44.17,Earthquake,Protect,Rest,Stealth Rock,Elettro - Fuoco - Veleno - Roccia - Acciaio,Folletto - Ghiaccio - Roccia,Erba - Ghiaccio - Acqua,Lotta - Fuoco - Terra
#0051,Dugtrio,Forma Normale,Terra,,Pokémon Talpa,Stadio 1,35,100,50,50,70,120,425,70.83,Ally Switch,Beat Up,Earthquake,Memento,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0051,Dugtrio,Forma Alola,Terra,Acciaio,Pokémon Talpa,Stadio 1,35,100,60,50,70,110,425,70.83,Earthquake,Protect,Rest,Stealth Rock,Elettro - Fuoco - Veleno - Roccia - Acciaio,Folletto - Ghiaccio - Roccia,Erba - Ghiaccio - Acqua,Lotta - Fuoco - Terra
#0052,Meowth,Forma Normale,Normale,,Pokémon Graffimiao,Base,40,45,35,40,40,90,290,48.33,Fake Out,Knock Off,Protect,Rest,–,–,Lotta,–
#0052,Meowth,Forma Alola,Buio,,Pokémon Graffimiao,Base,40,35,35,50,40,90,290,48.33,Fake Out,Knock Off,Protect,Rest,Spettro - Psico,–,Coleottero - Folletto - Lotta,–
#0052,Meowth,Forma Galar,Acciaio,,Pokémon Graffimiao,Base,50,65,55,40,40,40,290,48.33,Fake Out,Knock Off,Protect,Rest,Folletto - Ghiaccio - Roccia,–,Lotta - Fuoco - Terra,–
#0053,Persian,Forma Normale,Normale,,Pokémon Nobilgatto,Stadio 1,65,70,60,65,65,115,440,73.33,Fake Out,Knock Off,Protect,Rest,–,–,Lotta,–
#0053,Persian,Forma Alola,Buio,,Pokémon Nobilgatto,Stadio 1,65,60,60,75,65,115,440,73.33,Fake Out,Knock Off,Protect,Rest,Spettro - Psico,–,Coleottero - Folletto - Lotta,–
#0054,Psyduck,,Acqua,,Pokémon Papero,Base,50,52,48,65,50,55,320,53.33,Hydro Pump,Ice Beam,Light Screen,Protect,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0055,Golduck,,Acqua,,Pokémon Papero,Stadio 1,80,82,78,95,80,85,500,83.33,Aqua Jet,Clear Smog,Flip Turn,Hydro Pump,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0058,Growlithe,Forma Normale,Fuoco,,Pokémon Cagnolino,Base,55,70,45,70,50,60,350,58.33,Howl,Protect,Reflect,Rest,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
