N. Pokédex,Pokémon,Forme,Tipo1,Tipo2,Categoria,Grado,PS,Attacco,Difesa,Attacco sp.,Difesa sp.,Velocità,Totale,Media,Mossa 1,Mossa 2,Mossa 3,Mossa 4,Forte 1 Contro,Forte 2 Contro,Debole 1 Contro,Debole 2 Contro
#0000,Missingno,,Normale,,Pokèmon Glitch,Base,0,0,0,0,0,0,0,"0,00",,,,,–,–,Lotta,–
#0001,Bulbasaur,,Erba,Veleno,Pokémon Seme,Base,45,49,49,65,65,45,318,"53,00",Frenzy Plant,Knock Off,Light Screen,Protect,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0002,Ivysaur,,Erba,Veleno,Pokémon Seme,Stadio 1,60,62,63,80,80,60,405,"67,50",Frenzy Plant,Knock Off,Light Screen,Protect,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0003,Venusaur,Forma Normale,Erba,Veleno,Pokémon Seme,Stadio 2,80,82,83,100,100,80,525,"87,50",Earth Power,Earthquake,Frenzy Plant,Knock Off,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0003,Venusaur,Mega Venusaur,Erba,Veleno,Pokémon Seme,MegaEvoluzione,80,100,123,122,120,80,625,"104,17",Earth Power,Earthquake,Frenzy Plant,Knock Off,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0003,Venusaur,Venusaur Gigamax,Erba,Veleno,Pokémon Seme,GigaEvoluzione,80,82,83,100,100,80,525,"87,50",Earth Power,Earthquake,Frenzy Plant,Knock Off,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0004,Charmander,,Fuoco,,Pokémon Lucertola,Base,39,52,43,60,50,65,309,"51,50",Blast Burn,Howl,Protect,Reflect,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0005,Charmeleon,,Fuoco,,Pokémon Fiamma,Stadio 1,58,64,58,80,65,80,405,"67,50",Blast Burn,Howl,Protect,Reflect,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0006,Charizard,Forma Normale,Fuoco,Volante,Pokémon Fiamma,Stadio 2,78,84,78,109,85,100,534,"89,00",Air Slash,Blast Burn,Earthquake,Heat Wave,Coleottero - Erba - Ghiaccio - Acciaio,Coleottero - Lotta - Erba,Terra - Roccia - Acqua,Elettro - Ghiaccio - Roccia
#0006,Charizard,Mega Charizard Y,Fuoco,Volante,Pokémon Fiamma,MegaEvoluzione,78,130,111,130,85,100,634,"105,67",Air Slash,Blast Burn,Earthquake,Heat Wave,Coleottero - Erba - Ghiaccio - Acciaio,Coleottero - Lotta - Erba,Terra - Roccia - Acqua,Elettro - Ghiaccio - Roccia
#0006,Charizard,Mega Charizard X,Fuoco,Drago,Pokémon Fiamma,MegaEvoluzione,78,104,78,159,115,100,634,"105,67",Air Slash,Blast Burn,Earthquake,Heat Wave,Coleottero - Erba - Ghiaccio - Acciaio,Drago,Terra - Roccia - Acqua,Drago - Folletto - Ghiaccio
#0006,Charizard,Charizard Gigamax,Fuoco,Volante,Pokémon Fiamma,GigaEvoluzione,78,84,78,109,85,100,534,"89,00",Air Slash,Blast Burn,Earthquake,Heat Wave,Coleottero - Erba - Ghiaccio - Acciaio,Coleottero - Lotta - Erba,Terra - Roccia - Acqua,Elettro - Ghiaccio - Roccia
#0007,Squirtle,,Acqua,,Pokémon Tartaghina,Base,44,48,65,50,64,43,314,"52,33",Fake Out,Flip Turn,Hydro Cannon,Hydro Pump,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0008,Wartortle,,Acqua,,Pokémon Tartaruga,Stadio 1,59,63,80,65,80,58,405,"67,50",Fake Out,Flip Turn,Hydro Cannon,Hydro Pump,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0009,Blastoise,Forma Normale,Acqua,,Pokémon Crostaceo,Stadio 2,79,83,100,85,105,78,530,"88,33",Blizzard,Dark Pulse,Earthquake,Fake Out,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0009,Blastoise,Mega Blastoise,Acqua,,Pokémon Crostaceo,MegaEvoluzione,79,103,120,135,115,78,630,"105,00",Blizzard,Dark Pulse,Earthquake,Fake Out,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0009,Blastoise,Blastoise Gigamax,Acqua,,Pokémon Crostaceo,GigaEvoluzione,79,83,100,85,105,78,530,"88,33",Blizzard,Dark Pulse,Earthquake,Fake Out,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0010,Caterpie,,Coleottero,,Pokémon Baco,Base,45,30,35,20,20,45,195,"32,50",,,,,Erba - Buio - Psico,–,Fuoco - Volante - Roccia,–
#0011,Metapod,,Coleottero,,Pokémon Bozzolo,Stadio 1,50,20,55,25,25,30,205,"34,17",,,,,Erba - Buio - Psico,–,Fuoco - Volante - Roccia,–
#0012,Butterfree,Forma Normale,Coleottero,Volante,Pokémon Farfalla,Stadio 2,60,45,50,80,80,70,385,"64,17",Air Slash,Baton Pass,Bug Buzz,Hurricane,Erba - Buio - Psico,Coleottero - Lotta - Erba,Fuoco - Volante - Roccia,Elettro - Ghiaccio - Roccia
#0012,Butterfree,Butterfree GigaMax,Coleottero,Volante,Pokémon Farfalla,GigaEvoluzione,60,45,50,90,80,70,395,"65,83",Air Slash,Baton Pass,Bug Buzz,Hurricane,Erba - Buio - Psico,Coleottero - Lotta - Erba,Fuoco - Volante - Roccia,Elettro - Ghiaccio - Roccia
#0013,Weedle,,Coleottero,Veleno,Pokémon Millepiedi,Base,40,35,30,20,20,50,195,"32,50",,,,,Erba - Buio - Psico,Folletto - Erba,Fuoco - Volante - Roccia,Terra - Psico
#0014,Kakuna,,Coleottero,Veleno,Pokémon Bozzolo,Stadio 1,45,25,50,25,25,35,205,"34,17",,,,,Erba - Buio - Psico,Folletto - Erba,Fuoco - Volante - Roccia,Terra - Psico
#0015,Beedrill,Forma Normale,Coleottero,Veleno,Pokémon Velenape,Stadio 2,65,90,40,45,80,75,395,"65,83",,,,,Erba - Buio - Psico,Folletto - Erba,Fuoco - Volante - Roccia,Terra - Psico
#0015,Beedrill,Mega Beedrill,Coleottero,Veleno,Pokémon Velenape,MegaEvoluzione,65,150,40,15,80,145,495,"82,50",,,,,Erba - Buio - Psico,Folletto - Erba,Fuoco - Volante - Roccia,Terra - Psico
#0016,Pidgey,,Normale,Volante,Pokémon Uccellino,Base,40,45,40,35,35,56,251,"41,83",,,,,–,Coleottero - Lotta - Erba,Lotta,Elettro - Ghiaccio - Roccia
#0017,Pidgeotto,,Normale,Volante,Pokémon Uccello,Stadio 1,63,60,55,50,50,71,349,"58,17",,,,,–,Coleottero - Lotta - Erba,Lotta,Elettro - Ghiaccio - Roccia
#0018,Pidgeot,Forma Normale,Normale,Volante,Pokémon Uccello,Stadio 2,83,80,75,70,70,101,479,"79,83",,,,,–,Coleottero - Lotta - Erba,Lotta,Elettro - Ghiaccio - Roccia
#0018,Pidgeot,Mega Pidgeot,Normale,Volante,Pokémon Uccello,MegaEvoluzione,83,80,80,135,80,121,579,"96,50",,,,,–,Coleottero - Lotta - Erba,Lotta,Elettro - Ghiaccio - Roccia
#0019,Rattata,Forma Normale,Normale,,Pokémon Topo,Base,30,56,35,25,35,72,253,"42,17",,,,,–,–,Lotta,–
#0019,Rattata,Forma Alola,Buio,Normale,Pokémon Topo,Base,30,56,35,25,35,72,253,"42,17",,,,,Spettro - Psico,–,Coleottero - Folletto - Lotta,Lotta
#0020,Raticate,Forma Normale,Normale,,Pokémon Topo,Stadio 1,55,81,60,50,70,97,413,"68,83",,,,,–,–,Lotta,–
#0020,Raticate,Forma Alola,Buio,Normale,Pokémon Topo,Stadio 1,75,71,70,40,80,77,413,"68,83",,,,,Spettro - Psico,–,Coleottero - Folletto - Lotta,Lotta
#0021,Spearow,,Normale,Volante,Pokémon Uccellino,Base,40,60,30,31,31,70,262,"43,67",,,,,–,Coleottero - Lotta - Erba,Lotta,Elettro - Ghiaccio - Roccia
#0022,Fearow,,Normale,Volante,Pokémon Becco,Stadio 1,65,90,65,61,61,100,442,"73,67",,,,,–,Coleottero - Lotta - Erba,Lotta,Elettro - Ghiaccio - Roccia
